"","x"
"1",NA
"2","ar_aux_2002"
"3","ar_main_2002"
"4","az_aux_2002"
"5","az_aux_2003"
"6","az_main_2002"
"7","az_main_2003"
"8","dc_aux_2002"
"9","dc_aux_2003"
"10","dc_aux_2004"
"11","dc_aux_2005"
"12","dc_aux_2006"
"13","dc_aux_2007"
"14","dc_aux_2008"
"15","dc_aux_2009"
"16","dc_main_2002"
"17","dc_main_2003"
"18","dc_main_2004"
"19","dc_main_2005"
"20","dc_main_2006"
"21","dc_main_2007"
"22","dc_main_2008"
"23","dc_main_2009"
"24","ma_aux_2002"
"25","ma_aux_2003"
"26","ma_aux_2004"
"27","ma_aux_2005"
"28","ma_aux_2006"
"29","ma_aux_2007"
"30","ma_aux_2008"
"31","ma_aux_2009"
"32","ma_aux_2010"
"33","ma_main_2002"
"34","ma_main_2003"
"35","ma_main_2004"
"36","ma_main_2005"
"37","ma_main_2006"
"38","ma_main_2007"
"39","ma_main_2008"
"40","ma_main_2009"
"41","ma_main_2010"
"42","ms_aux_2002"
"43","ms_aux_2003"
"44","ms_main_2002"
"45","ms_main_2003"
"46","nh_aux_2002"
"47","nh_main_2002"
"48","wy_aux_2014"
"49","wy_aux_NA"
"50","wy_main_2014"
"51","wy_main_NA"
